FirstName1 LastName1  Full 104076.55
FirstName218 LastName218  Full 116157.03
FirstName219 LastName219  Full 120310.90
FirstName220 LastName220  Associate 95261.22
FirstName221 LastName221  Full 94457.44
FirstName222 LastName222  Full 106844.73
FirstName223 LastName223  Full 102511.86
FirstName224 LastName224  Associate 82215.35
FirstName225 LastName225  Full 126775.27
FirstName226 LastName226  Full 120206.40
FirstName227 LastName227  Full 109307.94
FirstName228 LastName228  Full 129916.10
FirstName229 LastName229  Assistant 61218.26
FirstName230 LastName230  Associate 71255.09
FirstName231 LastName231  Associate 73340.10
FirstName232 LastName232  Assistant 55712.05
FirstName233 LastName233  Full 79648.80
FirstName234 LastName234  Associate 106047.48
FirstName235 LastName235  Assistant 75431.43
FirstName236 LastName236  Assistant 51612.12
FirstName237 LastName237  Assistant 67466.69
FirstName238 LastName238  Full 88510.23
FirstName239 LastName239  Associate 69846.47
FirstName240 LastName240  Full 93548.37
FirstName241 LastName241  Associate 89507.22
FirstName242 LastName242  Associate 98652.10
FirstName243 LastName243  Full 123264.82
FirstName244 LastName244  Associate 94707.94
FirstName245 LastName245  Assistant 78200.71
FirstName246 LastName246  Assistant 51999.24
FirstName247 LastName247  Assistant 59790.01
FirstName248 LastName248  Full 85206.21
FirstName249 LastName249  Associate 105713.26
FirstName250 LastName250  Full 124725.50
FirstName251 LastName251  Assistant 68976.74
FirstName252 LastName252  Associate 108839.11
FirstName253 LastName253  Full 128769.89
FirstName254 LastName254  Assistant 79326.82
FirstName255 LastName255  Associate 61000.86
FirstName256 LastName256  Full 94542.82
FirstName257 LastName257  Full 79905.17
FirstName258 LastName258  Full 92832.84
FirstName259 LastName259  Associate 77478.32
FirstName260 LastName260  Associate 82500.53
FirstName261 LastName261  Full 77009.10
FirstName262 LastName262  Full 129505.97
FirstName263 LastName263  Associate 70385.98
FirstName264 LastName264  Associate 73966.41
FirstName265 LastName265  Associate 84166.00
FirstName266 LastName266  Associate 94328.35
FirstName267 LastName267  Full 96917.40
FirstName268 LastName268  Assistant 50258.63
FirstName269 LastName269  Full 111943.52
FirstName270 LastName270  Associate 81279.34
FirstName271 LastName271  Full 124739.93
FirstName272 LastName272  Assistant 66339.35
FirstName273 LastName273  Associate 108550.92
FirstName274 LastName274  Assistant 62555.50
FirstName275 LastName275  Associate 91645.62
FirstName276 LastName276  Full 121552.44
FirstName277 LastName277  Assistant 71423.49
FirstName278 LastName278  Associate 95541.73
FirstName279 LastName279  Assistant 65472.96
FirstName280 LastName280  Assistant 67445.46
FirstName281 LastName281  Assistant 50381.97
FirstName282 LastName282  Associate 76295.33
FirstName283 LastName283  Full 117669.67
FirstName284 LastName284  Associate 60321.35
FirstName285 LastName285  Full 102140.99
FirstName286 LastName286  Associate 105759.81
FirstName287 LastName287  Full 98624.40
FirstName288 LastName288  Assistant 56002.15
FirstName289 LastName289  Assistant 54361.17
FirstName290 LastName290  Full 84330.50
FirstName291 LastName291  Assistant 60217.49
FirstName292 LastName292  Full 76603.22
FirstName293 LastName293  Full 114660.63
FirstName294 LastName294  Associate 84826.34
FirstName295 LastName295  Full 96508.51
FirstName296 LastName296  Associate 83732.85
FirstName297 LastName297  Assistant 61477.24
FirstName298 LastName298  Full 114328.24
FirstName299 LastName299  Assistant 67612.49
FirstName300 LastName300  Associate 69897.09
FirstName301 LastName301  Associate 86641.80
FirstName302 LastName302  Associate 98765.38
FirstName303 LastName303  Full 84055.83
FirstName304 LastName304  Associate 83785.37
FirstName305 LastName305  Full 76394.06
FirstName306 LastName306  Assistant 72616.24
FirstName307 LastName307  Full 75705.00
FirstName308 LastName308  Full 123533.81
FirstName309 LastName309  Assistant 55767.65
FirstName310 LastName310  Associate 91519.59
FirstName311 LastName311  Associate 108994.25
FirstName312 LastName312  Assistant 60483.34
FirstName313 LastName313  Associate 79143.32
FirstName314 LastName314  Assistant 67966.84
FirstName315 LastName315  Associate 103974.65
FirstName316 LastName316  Assistant 64382.56
FirstName317 LastName317  Full 127469.31
FirstName318 LastName318  Associate 105879.01
FirstName319 LastName319  Full 89465.37
FirstName320 LastName320  Full 88481.18
FirstName321 LastName321  Assistant 77098.02
FirstName322 LastName322  Full 105324.28
FirstName323 LastName323  Full 90088.34
FirstName324 LastName324  Associate 82575.93
FirstName325 LastName325  Assistant 67613.67
FirstName326 LastName326  Associate 65533.86
FirstName327 LastName327  Assistant 54611.56
FirstName328 LastName328  Associate 89498.07
FirstName329 LastName329  Associate 70733.40
FirstName330 LastName330  Associate 102042.64
FirstName331 LastName331  Associate 70351.75
FirstName332 LastName332  Assistant 78903.32
FirstName333 LastName333  Full 78238.76
FirstName334 LastName334  Assistant 69962.84
FirstName335 LastName335  Full 91874.68
FirstName336 LastName336  Assistant 56352.58
FirstName337 LastName337  Associate 88828.91
FirstName338 LastName338  Associate 86897.92
FirstName339 LastName339  Full 88280.81
FirstName340 LastName340  Full 108867.37
FirstName341 LastName341  Full 123316.38
FirstName342 LastName342  Full 108316.82
FirstName343 LastName343  Associate 83959.60
FirstName344 LastName344  Associate 100455.27
FirstName345 LastName345  Full 88254.13
FirstName346 LastName346  Assistant 78187.29
FirstName347 LastName347  Full 83952.14
FirstName348 LastName348  Full 117722.11
FirstName349 LastName349  Associate 90041.90
FirstName350 LastName350  Associate 101656.92
FirstName351 LastName351  Full 97106.94
FirstName352 LastName352  Full 89810.75
FirstName353 LastName353  Assistant 56721.96
FirstName354 LastName354  Full 125970.51
FirstName355 LastName355  Assistant 55384.83
FirstName356 LastName356  Full 75625.26
FirstName357 LastName357  Assistant 79727.93
FirstName358 LastName358  Full 111197.69
FirstName359 LastName359  Assistant 63129.06
FirstName360 LastName360  Assistant 60017.01
FirstName361 LastName361  Full 129327.06
FirstName362 LastName362  Associate 99770.01
FirstName363 LastName363  Assistant 54829.19
FirstName364 LastName364  Associate 65412.79
FirstName365 LastName365  Full 94128.81
FirstName366 LastName366  Full 78024.38
FirstName367 LastName367  Associate 86132.97
FirstName368 LastName368  Associate 65598.00
FirstName369 LastName369  Full 104239.13
FirstName370 LastName370  Associate 62976.27
FirstName371 LastName371  Full 97538.59
FirstName372 LastName372  Associate 70213.23
FirstName373 LastName373  Associate 84460.74
FirstName374 LastName374  Full 82624.08
FirstName375 LastName375  Assistant 76847.08
FirstName376 LastName376  Associate 107045.13
FirstName377 LastName377  Associate 79741.28
FirstName378 LastName378  Assistant 71813.93
FirstName379 LastName379  Full 100819.05
FirstName380 LastName380  Full 102866.11
FirstName381 LastName381  Full 124280.73
FirstName382 LastName382  Assistant 60931.30
FirstName383 LastName383  Full 80846.93
FirstName384 LastName384  Assistant 52848.28
FirstName385 LastName385  Assistant 52048.37
FirstName386 LastName386  Assistant 66460.00
FirstName387 LastName387  Assistant 64013.29
FirstName388 LastName388  Associate 65646.81
FirstName389 LastName389  Assistant 65507.29
FirstName390 LastName390  Assistant 78513.15
FirstName391 LastName391  Assistant 74630.95
FirstName392 LastName392  Full 121280.96
FirstName393 LastName393  Associate 75847.15
FirstName394 LastName394  Associate 96922.51
FirstName395 LastName395  Assistant 64749.88
FirstName396 LastName396  Full 98563.06
FirstName397 LastName397  Full 115335.65
FirstName398 LastName398  Full 76253.83
FirstName399 LastName399  Associate 104906.23
FirstName400 LastName400  Full 93956.98
FirstName401 LastName401  Associate 105612.71
FirstName402 LastName402  Associate 93420.77
FirstName403 LastName403  Assistant 65202.50
FirstName404 LastName404  Associate 94066.22
FirstName405 LastName405  Associate 109233.64
FirstName406 LastName406  Full 129075.38
FirstName407 LastName407  Full 89301.81
FirstName408 LastName408  Full 125446.46
FirstName409 LastName409  Associate 73735.97
FirstName410 LastName410  Assistant 51040.00
FirstName411 LastName411  Assistant 58972.16
FirstName412 LastName412  Full 76959.43
FirstName413 LastName413  Full 105414.16
FirstName414 LastName414  Associate 89956.24
FirstName415 LastName415  Assistant 51374.37
FirstName416 LastName416  Associate 65960.29
FirstName417 LastName417  Associate 86339.20
FirstName418 LastName418  Full 129820.43
FirstName419 LastName419  Full 127901.33
FirstName420 LastName420  Full 119088.28
FirstName421 LastName421  Assistant 50265.26
FirstName422 LastName422  Associate 75858.82
FirstName423 LastName423  Associate 87482.15
FirstName424 LastName424  Assistant 56156.93
FirstName425 LastName425  Associate 82780.64
FirstName426 LastName426  Assistant 73678.80
FirstName427 LastName427  Associate 80664.74
FirstName428 LastName428  Assistant 57314.86
FirstName429 LastName429  Full 119912.39
FirstName430 LastName430  Associate 74926.81
FirstName431 LastName431  Associate 82223.75
FirstName432 LastName432  Associate 80930.15
FirstName433 LastName433  Associate 104313.71
FirstName434 LastName434  Assistant 59202.82
FirstName435 LastName435  Assistant 63516.18
FirstName436 LastName436  Assistant 64613.48
FirstName437 LastName437  Associate 89998.18
FirstName438 LastName438  Associate 93868.28
FirstName439 LastName439  Assistant 73727.94
FirstName440 LastName440  Assistant 69008.43
FirstName441 LastName441  Associate 108244.97
FirstName442 LastName442  Associate 68024.40
FirstName443 LastName443  Full 121108.76
FirstName444 LastName444  Associate 60991.64
FirstName445 LastName445  Full 106242.01
FirstName446 LastName446  Full 104796.97
FirstName447 LastName447  Associate 76557.02
FirstName448 LastName448  Associate 102261.48
FirstName449 LastName449  Assistant 75564.15
FirstName450 LastName450  Associate 95425.02
FirstName451 LastName451  Assistant 77998.26
FirstName452 LastName452  Associate 74757.59
FirstName453 LastName453  Assistant 68033.31
FirstName454 LastName454  Full 82560.11
FirstName455 LastName455  Associate 88403.73
FirstName456 LastName456  Full 75362.62
FirstName457 LastName457  Associate 76330.99
FirstName458 LastName458  Associate 87897.62
FirstName459 LastName459  Full 93854.72
FirstName460 LastName460  Associate 106483.54
FirstName461 LastName461  Full 102324.52
FirstName462 LastName462  Full 118675.03
FirstName463 LastName463  Full 82129.06
FirstName464 LastName464  Assistant 71424.04
FirstName465 LastName465  Associate 99940.48
FirstName466 LastName466  Full 77218.48
FirstName467 LastName467  Assistant 53596.61
FirstName468 LastName468  Full 129993.64
FirstName469 LastName469  Full 123206.05
FirstName470 LastName470  Associate 63705.28
FirstName471 LastName471  Assistant 77546.24
FirstName472 LastName472  Full 88207.07
FirstName473 LastName473  Assistant 57039.65
FirstName474 LastName474  Assistant 54777.27
FirstName475 LastName475  Full 129572.31
FirstName476 LastName476  Assistant 78089.27
FirstName477 LastName477  Associate 72572.52
FirstName478 LastName478  Assistant 69335.28
FirstName479 LastName479  Full 104985.74
FirstName480 LastName480  Assistant 62401.66
FirstName481 LastName481  Assistant 64693.87
FirstName482 LastName482  Assistant 65322.67
FirstName483 LastName483  Associate 66352.67
FirstName484 LastName484  Full 103330.03
FirstName485 LastName485  Assistant 72495.38
FirstName486 LastName486  Assistant 61128.04
FirstName487 LastName487  Full 105299.97
FirstName488 LastName488  Assistant 75412.22
FirstName489 LastName489  Associate 87679.30
FirstName490 LastName490  Associate 93828.34
FirstName491 LastName491  Assistant 77933.12
FirstName492 LastName492  Associate 82378.72
FirstName493 LastName493  Full 75168.64
FirstName494 LastName494  Full 82412.23
FirstName495 LastName495  Assistant 77280.01
FirstName496 LastName496  Full 75796.14
FirstName497 LastName497  Assistant 56105.99
FirstName498 LastName498  Full 107437.82
FirstName499 LastName499  Full 96191.64
FirstName500 LastName500  Associate 63357.47
FirstName501 LastName501  Full 113115.25
FirstName502 LastName502  Assistant 76179.56
FirstName503 LastName503  Assistant 59545.88
FirstName504 LastName504  Associate 93627.00
FirstName505 LastName505  Full 106334.96
FirstName506 LastName506  Assistant 61197.96
FirstName507 LastName507  Associate 80763.42
FirstName508 LastName508  Full 108775.12
FirstName509 LastName509  Associate 72940.30
FirstName510 LastName510  Full 93622.44
FirstName511 LastName511  Assistant 73231.43
FirstName512 LastName512  Associate 66630.95
FirstName513 LastName513  Associate 65473.02
FirstName514 LastName514  Full 83290.17
FirstName515 LastName515  Full 118798.92
FirstName516 LastName516  Assistant 68534.79
FirstName517 LastName517  Associate 73215.47
FirstName518 LastName518  Full 79901.44
FirstName519 LastName519  Assistant 78021.84
FirstName520 LastName520  Associate 103970.68
FirstName521 LastName521  Assistant 64763.28
FirstName522 LastName522  Associate 76524.44
FirstName523 LastName523  Associate 64707.48
FirstName524 LastName524  Full 123233.43
FirstName525 LastName525  Full 125892.26
FirstName526 LastName526  Assistant 55718.59
FirstName527 LastName527  Full 116711.26
FirstName528 LastName528  Assistant 51112.77
FirstName529 LastName529  Assistant 76819.10
FirstName530 LastName530  Associate 103088.68
FirstName531 LastName531  Associate 67012.98
FirstName532 LastName532  Assistant 66111.53
FirstName533 LastName533  Associate 74854.71
FirstName534 LastName534  Assistant 54488.35
FirstName535 LastName535  Assistant 78326.51
FirstName536 LastName536  Assistant 55505.09
FirstName537 LastName537  Full 86187.59
FirstName538 LastName538  Full 128008.45
FirstName539 LastName539  Assistant 66286.64
FirstName540 LastName540  Assistant 72972.60
FirstName541 LastName541  Assistant 68666.26
FirstName542 LastName542  Assistant 66969.24
FirstName543 LastName543  Associate 91988.73
FirstName544 LastName544  Full 75639.68
FirstName545 LastName545  Associate 91813.36
FirstName546 LastName546  Full 120509.37
FirstName547 LastName547  Full 115304.70
FirstName548 LastName548  Full 103924.89
FirstName549 LastName549  Assistant 60144.83
FirstName550 LastName550  Associate 60335.12
FirstName551 LastName551  Full 127024.99
FirstName552 LastName552  Associate 76952.18
FirstName553 LastName553  Assistant 57830.75
FirstName554 LastName554  Full 118431.06
FirstName555 LastName555  Associate 62227.18
FirstName556 LastName556  Assistant 78387.09
FirstName557 LastName557  Assistant 57367.34
FirstName558 LastName558  Full 108417.44
FirstName559 LastName559  Full 113612.22
FirstName560 LastName560  Assistant 78943.62
FirstName561 LastName561  Full 126402.72
FirstName562 LastName562  Full 101419.98
FirstName563 LastName563  Assistant 59976.03
FirstName564 LastName564  Assistant 73683.02
FirstName565 LastName565  Assistant 60087.66
FirstName566 LastName566  Full 123978.77
FirstName567 LastName567  Full 78168.15
FirstName568 LastName568  Full 123067.49
FirstName569 LastName569  Associate 67395.66
FirstName570 LastName570  Associate 82110.15
FirstName571 LastName571  Associate 91125.08
FirstName572 LastName572  Full 103507.53
FirstName573 LastName573  Full 117982.06
FirstName574 LastName574  Full 91981.61
FirstName575 LastName575  Full 93067.99
FirstName576 LastName576  Full 90957.38
FirstName577 LastName577  Full 90507.98
FirstName578 LastName578  Full 114753.95
FirstName579 LastName579  Full 91393.91
FirstName580 LastName580  Associate 82968.61
FirstName581 LastName581  Associate 89028.33
FirstName582 LastName582  Associate 60636.43
FirstName583 LastName583  Full 110129.62
FirstName584 LastName584  Assistant 52255.85
FirstName585 LastName585  Full 117553.62
FirstName586 LastName586  Associate 106987.27
FirstName587 LastName587  Full 92736.00
FirstName588 LastName588  Assistant 66918.52
FirstName589 LastName589  Assistant 61081.24
FirstName590 LastName590  Full 93634.88
FirstName591 LastName591  Associate 102354.52
FirstName592 LastName592  Associate 108846.35
FirstName593 LastName593  Associate 94615.18
FirstName594 LastName594  Associate 75910.96
FirstName595 LastName595  Assistant 79861.83
FirstName596 LastName596  Associate 73360.66
FirstName597 LastName597  Full 123905.23
FirstName598 LastName598  Full 103643.23
FirstName599 LastName599  Associate 72963.91
FirstName600 LastName600  Assistant 56726.50
FirstName601 LastName601  Full 87404.64
FirstName602 LastName602  Full 86073.08
FirstName603 LastName603  Assistant 72347.57
FirstName604 LastName604  Associate 107240.09
FirstName605 LastName605  Assistant 68467.62
FirstName606 LastName606  Full 81816.32
FirstName607 LastName607  Assistant 68747.78
FirstName608 LastName608  Associate 108505.58
FirstName609 LastName609  Full 106696.62
FirstName610 LastName610  Assistant 65989.58
FirstName611 LastName611  Associate 82743.86
FirstName612 LastName612  Full 100678.93
FirstName613 LastName613  Associate 62377.87
FirstName614 LastName614  Assistant 71056.71
FirstName615 LastName615  Full 125587.04
FirstName616 LastName616  Associate 64108.49
FirstName617 LastName617  Full 117306.61
FirstName618 LastName618  Assistant 74404.88
FirstName619 LastName619  Assistant 74813.13
FirstName620 LastName620  Full 94263.73
FirstName621 LastName621  Associate 67840.31
FirstName622 LastName622  Assistant 55277.01
FirstName623 LastName623  Full 97724.79
FirstName624 LastName624  Associate 99044.80
FirstName625 LastName625  Associate 103375.02
FirstName626 LastName626  Assistant 50834.86
FirstName627 LastName627  Assistant 58364.17
FirstName628 LastName628  Associate 60383.47
FirstName629 LastName629  Assistant 64911.69
FirstName630 LastName630  Full 99042.10
FirstName631 LastName631  Associate 86035.82
FirstName632 LastName632  Assistant 68761.81
FirstName633 LastName633  Assistant 52998.92
FirstName634 LastName634  Full 77564.75
FirstName635 LastName635  Assistant 76263.90
FirstName636 LastName636  Full 107737.51
FirstName637 LastName637  Associate 83681.89
FirstName638 LastName638  Full 111916.06
FirstName639 LastName639  Associate 107089.67
FirstName640 LastName640  Full 94086.33
FirstName641 LastName641  Associate 79908.39
FirstName642 LastName642  Full 129979.73
FirstName643 LastName643  Associate 99917.41
FirstName644 LastName644  Full 127639.05
FirstName645 LastName645  Associate 73664.19
FirstName646 LastName646  Full 124812.69
FirstName647 LastName647  Associate 89128.93
FirstName648 LastName648  Assistant 50918.00
FirstName649 LastName649  Associate 102182.14
FirstName650 LastName650  Associate 66094.19
FirstName651 LastName651  Assistant 75432.65
FirstName652 LastName652  Assistant 55039.60
FirstName653 LastName653  Full 127466.63
FirstName654 LastName654  Associate 74005.81
FirstName655 LastName655  Assistant 72923.24
FirstName656 LastName656  Assistant 54294.63
FirstName657 LastName657  Full 103895.97
FirstName658 LastName658  Full 106504.14
FirstName659 LastName659  Full 101448.12
FirstName660 LastName660  Full 84546.88
FirstName661 LastName661  Associate 69737.25
FirstName662 LastName662  Full 104631.74
FirstName663 LastName663  Full 86842.99
FirstName664 LastName664  Associate 105523.35
FirstName665 LastName665  Assistant 59224.89
FirstName666 LastName666  Associate 96375.05
FirstName667 LastName667  Full 123691.38
FirstName668 LastName668  Full 76542.25
FirstName669 LastName669  Full 86350.02
FirstName670 LastName670  Associate 72293.58
FirstName671 LastName671  Full 94340.85
FirstName672 LastName672  Assistant 66235.71
FirstName673 LastName673  Full 75379.44
FirstName674 LastName674  Full 99259.87
FirstName675 LastName675  Assistant 67617.14
FirstName676 LastName676  Associate 71483.52
FirstName677 LastName677  Associate 75059.49
FirstName678 LastName678  Assistant 56714.59
FirstName679 LastName679  Assistant 60148.33
FirstName680 LastName680  Associate 99935.83
FirstName681 LastName681  Associate 84065.58
FirstName682 LastName682  Associate 99276.39
FirstName683 LastName683  Assistant 52856.68
FirstName684 LastName684  Associate 92699.42
FirstName685 LastName685  Associate 91195.50
FirstName686 LastName686  Full 114252.90
FirstName687 LastName687  Associate 81946.81
FirstName688 LastName688  Full 98132.55
FirstName689 LastName689  Associate 66361.49
FirstName690 LastName690  Full 116748.20
FirstName691 LastName691  Full 79337.77
FirstName692 LastName692  Associate 89226.26
FirstName693 LastName693  Assistant 66264.29
FirstName694 LastName694  Assistant 72759.39
FirstName695 LastName695  Associate 67485.85
FirstName696 LastName696  Associate 104283.99
FirstName697 LastName697  Associate 74414.28
FirstName698 LastName698  Full 100763.82
FirstName699 LastName699  Full 107048.05
FirstName700 LastName700  Full 93771.61
FirstName701 LastName701  Assistant 55917.32
